Year,Player,Team
2015,Stephen Curry,Golden State Warriors
2014,Stephen Curry,Golden State Warriors
2013,Kevin Durant,Oklahoma City Thunder
2012,LeBron James,Miami Heat
2011,LeBron James,Miami Heat
2010,Derrick Rose,Chicago Bulls
2009,LeBron James,Cleveland Cavaliers
2008,LeBron James,Cleveland Cavaliers
2007,Kobe Bryant,Los Angeles Lakers
2006,Dirk Nowitzki,Dallas Mavericks
2005,Steve Nash,Phoenix Suns
2004,Steve Nash,Phoenix Suns
2003,Kevin Garnett,Minnesota Timberwolves
2002,Tim Duncan,San Antonio Spurs
2001,Tim Duncan,San Antonio Spurs
2000,Allen Iverson,Philadelphia 76ers
1999,Shaquille O'Neal,Los Angeles Lakers
1998,Karl Malone,Utah Jazz
1997,Michael Jordan,Chicago Bulls
1996,Karl Malone,Utah Jazz
1995,Michael Jordan,Chicago Bulls
1994,David Robinson,San Antonio Spurs
1993,Hakeem Olajuwon,Houston Rockets
1992,Charles Barkley,Phoenix Suns
1991,Michael Jordan,Chicago Bulls
1990,Michael Jordan,Chicago Bulls
1989,Magic Johnson,Los Angeles Lakers
1988,Magic Johnson,Los Angeles Lakers
1987,Michael Jordan,Chicago Bulls
1986,Magic Johnson,Los Angeles Lakers
1985,Larry Bird,Boston Celtics
1984,Larry Bird,Boston Celtics
1983,Larry Bird,Boston Celtics
1982,Moses Malone,Philadelphia 76ers
1981,Moses Malone,Houston Rockets
1980,Julius Erving,Philadelphia 76ers
1979,Kareem Abdul-Jabbar,Los Angeles Lakers
1978,Moses Malone,Houston Rockets
1977,Bill Walton,Portland Trail Blazers
1976,Kareem Abdul-Jabbar,Los Angeles Lakers
1975,Kareem Abdul-Jabbar,Los Angeles Lakers
1974,Bob McAdoo,Buffalo Braves
1973,Kareem Abdul-Jabbar,Milwaukee Bucks
1972,Dave Cowens,Boston Celtics
1971,Kareem Abdul-Jabbar,Milwaukee Bucks
1970,Kareem Abdul-Jabbar,Milwaukee Bucks
1969,Willis Reed,New York Knicks
1968,Wes Unseld,Baltimore Bullets
1967,Wilt Chamberlain,Philadelphia 76ers
1966,Wilt Chamberlain,Philadelphia 76ers
1965,Wilt Chamberlain,Philadelphia 76ers
1964,Bill Russell,Boston Celtics
1963,Oscar Robertson,Cincinnati Royals
1962,Bill Russell,Boston Celtics
1961,Bill Russell,Boston Celtics
1960,Bill Russell,Boston Celtics
1959,Wilt Chamberlain,Philadelphia Warriors
1958,Bob Pettit,St. Louis Hawks
1957,Bill Russell,Boston Celtics
1956,Bob Cousy,Boston Celtics
1955,Bob Pettit,St. Louis Hawks